geneID	Log2Ratio
ENSMUSG00000068129	-5.3868336662
ENSMUSG00000021061	-3.8314111268
ENSMUSG00000054072	-3.5001602643
ENSMUSG00000001270	-3.796045735
ENSMUSG00000024538	-5.1463212263
ENSMUSG00000071716	-3.1605975459
ENSMUSG00000026207	-3.3595633374
ENSMUSG00000031932	-6.7577926743
ENSMUSG00000031933	-5.3898590966
ENSMUSG00000003534	-3.4720104301
ENSMUSG00000030336	-5.7766639698
ENSMUSG00000056290	-4.378474402
ENSMUSG00000008845	-3.3598303665
ENSMUSG00000006014	-4.0294745916
ENSMUSG00000074170	-4.382065428
ENSMUSG00000036158	-4.8001138141
ENSMUSG00000049866	-5.9436253865
ENSMUSG00000026573	-5.8882756669
ENSMUSG00000076433	-3.3598022605
ENSMUSG00000051747	-3.2379268701
ENSMUSG00000023045	-4.2875166214
ENSMUSG00000060131	-3.0365873293
ENSMUSG00000002076	-3.1606298134
ENSMUSG00000002699	-4.6110312453
ENSMUSG00000026778	-5.056636123
ENSMUSG00000026770	-3.4021705165
ENSMUSG00000026483	-4.4128432045
ENSMUSG00000025161	-3.6906740981
ENSMUSG00000030352	-5.5647470269
ENSMUSG00000052512	-3.2073305626
ENSMUSG00000028082	-3.6907858241
ENSMUSG00000039114	-4.3821692088
ENSMUSG00000026205	-3.5347464211
ENSMUSG00000036356	-4.1864530164
ENSMUSG00000030088	-4.6338670918
ENSMUSG00000022817	-3.5346219328
ENSMUSG00000020886	-3.3653241849
ENSMUSG00000090958	-5.2994388311
ENSMUSG00000027546	-4.3096219335
ENSMUSG00000026011	-5.2610212451
ENSMUSG00000026012	-5.77136246
ENSMUSG00000096141	-3.8313503181
ENSMUSG00000046794	-3.3597601005
ENSMUSG00000027002	-3.9597237954
ENSMUSG00000022015	-5.8556658516
ENSMUSG00000022018	-4.0557618206
ENSMUSG00000066687	-5.3932171091
ENSMUSG00000022836	-3.1606620801
ENSMUSG00000030616	-6.7038454493
ENSMUSG00000037463	-4.4709077404
ENSMUSG00000023267	-3.0873553082
ENSMUSG00000049555	-7.4895003876
ENSMUSG00000030545	-4.4708231632
ENSMUSG00000022602	-3.8313908575
ENSMUSG00000006651	-4.5544844827
ENSMUSG00000090273	-3.4622209606
ENSMUSG00000031958	-3.9599555797
ENSMUSG00000021676	-3.4949814665
ENSMUSG00000032094	-5.539033069
ENSMUSG00000027438	-3.3598022605
ENSMUSG00000020042	-4.2298784395
ENSMUSG00000030495	-3.6904841441
ENSMUSG00000049539	-3.1606620801
ENSMUSG00000049532	-4.0775421049
ENSMUSG00000059146	-6.8763217091
ENSMUSG00000043587	-4.2043770917
ENSMUSG00000009633	-4.7799425535
ENSMUSG00000079553	-3.138484742
ENSMUSG00000070385	-6.5494011816
ENSMUSG00000044177	-4.3822176373
ENSMUSG00000028860	-3.053583156
ENSMUSG00000039521	-7.115248657
ENSMUSG00000021696	-4.9127312896
ENSMUSG00000035298	-3.1604361977
ENSMUSG00000020902	-4.1864688636
ENSMUSG00000002289	-3.3596898311
ENSMUSG00000044345	-3.2646319702
ENSMUSG00000033295	-3.8315327364
ENSMUSG00000090942	-3.8313908575
ENSMUSG00000055407	-4.4709467743
ENSMUSG00000039735	-3.6907076168
ENSMUSG00000026077	-3.3595492819
ENSMUSG00000026073	-3.1692183653
ENSMUSG00000026070	-4.7798847878
ENSMUSG00000038128	-5.5042087036
ENSMUSG00000045573	-6.6090368631
ENSMUSG00000045287	-3.8540628567
ENSMUSG00000033906	-7.0734978612
ENSMUSG00000014609	-3.9598165136
ENSMUSG00000035085	-3.1606620801
ENSMUSG00000030029	-5.1087855081
ENSMUSG00000028801	-3.1607104789
ENSMUSG00000029130	-5.1463008582
ENSMUSG00000030775	-3.4619996122
ENSMUSG00000020297	-6.2719592115
ENSMUSG00000000409	-3.1055191191
ENSMUSG00000026285	-7.0006096353
ENSMUSG00000045777	-4.2875609463
ENSMUSG00000045775	-4.4547725494
ENSMUSG00000079071	-6.5316270359
ENSMUSG00000029151	-3.3594930584
ENSMUSG00000026358	-4.0225244042
ENSMUSG00000015094	-3.5345472346
ENSMUSG00000025810	-3.7371756122
ENSMUSG00000069170	-4.5547300447
ENSMUSG00000025104	-4.5652447829
ENSMUSG00000017639	-3.54780948
ENSMUSG00000002799	-3.5347962134
ENSMUSG00000033256	-3.472051616
ENSMUSG00000005696	-4.0788684921
ENSMUSG00000063354	-3.8663680462
ENSMUSG00000015709	-3.5344600819
ENSMUSG00000079018	-6.8098800036
ENSMUSG00000047712	-3.0396365078
ENSMUSG00000030523	-3.8314516644
ENSMUSG00000001768	-3.160484604
ENSMUSG00000048458	-5.5645946176
ENSMUSG00000000817	-5.3933887412
ENSMUSG00000034573	-5.6806028534
ENSMUSG00000062082	-3.3597460469
ENSMUSG00000026117	-9.442751331
ENSMUSG00000041707	-3.3595211704
ENSMUSG00000047507	-6.3292922597
ENSMUSG00000089255	-3.036234284
ENSMUSG00000025790	-4.3647229086
ENSMUSG00000029359	-6.8527038162
ENSMUSG00000038319	-4.4711744514
ENSMUSG00000027603	-4.4310319153
ENSMUSG00000064023	-5.8472485024
ENSMUSG00000079481	-3.6904841441
ENSMUSG00000032011	-4.6783982541
ENSMUSG00000024186	-3.3418500561
ENSMUSG00000079608	-3.1605975459
ENSMUSG00000049109	-4.8622308832
ENSMUSG00000027985	-4.6273249109
ENSMUSG00000058975	-3.8316442028
ENSMUSG00000044469	-4.504145107
ENSMUSG00000035067	-3.9595290678
ENSMUSG00000019808	-3.5345721345
ENSMUSG00000010751	-4.1865164044
