geneID	Log2Ratio
ENSMUSG00000043505	-3.5152736962
ENSMUSG00000020300	-3.4160584094
ENSMUSG00000028232	-3.2536088369
ENSMUSG00000044534	-6.4957191434
ENSMUSG00000030921	-3.1767125148
ENSMUSG00000036769	-3.7669170701
ENSMUSG00000021585	-3.0543328838
ENSMUSG00000031153	-3.3358832023
ENSMUSG00000054293	-5.5659579812
ENSMUSG00000020982	-3.0031020749
ENSMUSG00000079033	-6.327618099
ENSMUSG00000026203	-3.0485757614
ENSMUSG00000031428	-3.4574326705
ENSMUSG00000031933	-3.978012557
ENSMUSG00000067599	-3.2272019665
ENSMUSG00000056290	-3.6916975545
ENSMUSG00000051243	-4.498502874
ENSMUSG00000038264	-5.7250683848
ENSMUSG00000026977	-3.2922270485
ENSMUSG00000034055	-4.0162805418
ENSMUSG00000034663	-3.7168551424
ENSMUSG00000043263	-5.019097716
ENSMUSG00000045038	-3.7225239002
ENSMUSG00000032652	-3.2079944381
ENSMUSG00000032656	-3.2972186853
ENSMUSG00000022528	-5.3390249833
ENSMUSG00000053914	-3.0784388032
ENSMUSG00000049038	-3.536099932
ENSMUSG00000033306	-4.0024980577
ENSMUSG00000037685	-3.4288845598
ENSMUSG00000041642	-3.5116982537
ENSMUSG00000076435	-3.4575709881
ENSMUSG00000027346	-4.6567749747
ENSMUSG00000027615	-3.2622738622
ENSMUSG00000073491	-4.7916684788
ENSMUSG00000040774	-4.6515565439
ENSMUSG00000073678	-7.3904659433
ENSMUSG00000062906	-3.3310111364
ENSMUSG00000030219	-5.0080622484
ENSMUSG00000078667	-3.3472766557
ENSMUSG00000024085	-3.7280057812
ENSMUSG00000015599	-4.2644441139
ENSMUSG00000019791	-3.2810659884
ENSMUSG00000027286	-3.0695221436
ENSMUSG00000066892	-3.2246956401
ENSMUSG00000050600	-4.7660475156
ENSMUSG00000026775	-3.0634142378
ENSMUSG00000026770	-3.1032523831
ENSMUSG00000026484	-3.0020198501
ENSMUSG00000041361	-4.0038784328
ENSMUSG00000022791	-4.4762695508
ENSMUSG00000043068	-3.7234376814
ENSMUSG00000036282	-3.2150823639
ENSMUSG00000079737	-3.1329741052
ENSMUSG00000028080	-3.6279226873
ENSMUSG00000021636	-4.906128007
ENSMUSG00000021754	-4.2558270913
ENSMUSG00000042558	-3.1573004491
ENSMUSG00000017747	-3.6536756415
ENSMUSG00000020387	-3.884282257
ENSMUSG00000075289	-3.1709459018
ENSMUSG00000024948	-4.0614819174
ENSMUSG00000024851	-3.0523833164
ENSMUSG00000024334	-4.2929004199
ENSMUSG00000004698	-4.2099661015
ENSMUSG00000027544	-3.0918434832
ENSMUSG00000040794	-3.0700743634
ENSMUSG00000029638	-5.5477743836
ENSMUSG00000063889	-3.7442884901
ENSMUSG00000025949	-3.3224783107
ENSMUSG00000001995	-3.2491632025
ENSMUSG00000070031	-3.1210585373
ENSMUSG00000020713	-4.4690995632
ENSMUSG00000025938	-3.6433430726
ENSMUSG00000028121	-8.883520679
ENSMUSG00000067591	-3.2272019665
ENSMUSG00000031207	-3.5099358425
ENSMUSG00000032440	-5.0225545025
ENSMUSG00000035824	-3.1204641601
ENSMUSG00000040747	-4.8531328043
ENSMUSG00000071757	-4.7643278274
ENSMUSG00000021678	-3.9704862889
ENSMUSG00000053175	-3.4737547157
ENSMUSG00000050627	-3.2301199562
ENSMUSG00000060477	-4.9275905164
ENSMUSG00000038612	-3.1234080048
ENSMUSG00000031391	-3.4439580899
ENSMUSG00000003283	-4.8302095654
ENSMUSG00000025584	-3.14762895
ENSMUSG00000028710	-3.4617893608
ENSMUSG00000021384	-3.3583403114
ENSMUSG00000079547	-4.023759064
ENSMUSG00000025092	-4.4984526437
ENSMUSG00000021733	-3.8663755136
ENSMUSG00000025279	-6.372082462
ENSMUSG00000020032	-3.0702276558
ENSMUSG00000024381	-3.2291514006
ENSMUSG00000025277	-3.0380978495
ENSMUSG00000022837	-3.4487227555
ENSMUSG00000070709	-3.1158854792
ENSMUSG00000020491	-4.0087674793
ENSMUSG00000022838	-4.7682610252
ENSMUSG00000038421	-8.3622626531
ENSMUSG00000014030	-8.2324100681
ENSMUSG00000001444	-4.0805519211
ENSMUSG00000023267	-4.3589447644
ENSMUSG00000000617	-6.4039169935
ENSMUSG00000047798	-3.4850042352
ENSMUSG00000015314	-6.3942060139
ENSMUSG00000036931	-4.0739055639
ENSMUSG00000029655	-3.2222904018
ENSMUSG00000047242	-3.9855638874
ENSMUSG00000061298	-3.0397312299
ENSMUSG00000032422	-3.127347963
ENSMUSG00000071369	-3.0627158652
ENSMUSG00000030930	-3.5807510452
ENSMUSG00000024772	-3.074015872
ENSMUSG00000024778	-3.1363488085
ENSMUSG00000033554	-3.1032292885
ENSMUSG00000060981	-3.5073730832
ENSMUSG00000037071	-10.4522447416
ENSMUSG00000036526	-6.3655824638
ENSMUSG00000025500	-3.0343766628
ENSMUSG00000028460	-4.8373523846
ENSMUSG00000053641	-4.8412537092
ENSMUSG00000061723	-3.2081826752
ENSMUSG00000034674	-3.432167603
ENSMUSG00000039159	-3.4506157334
ENSMUSG00000071042	-8.6296842877
ENSMUSG00000012640	-3.5233536169
ENSMUSG00000029270	-4.102268351
ENSMUSG00000042514	-5.2150248044
ENSMUSG00000049092	-4.40047418
ENSMUSG00000033949	-4.279329177
ENSMUSG00000033767	-3.2133121013
ENSMUSG00000033004	-3.0536037495
ENSMUSG00000027900	-3.7799781062
ENSMUSG00000027901	-4.1263081039
ENSMUSG00000015377	-3.5650679151
ENSMUSG00000051329	-3.1292735931
ENSMUSG00000031883	-3.1781929376
ENSMUSG00000029672	-3.8333834003
ENSMUSG00000038147	-3.7912031043
ENSMUSG00000057246	-5.5114339417
ENSMUSG00000028102	-3.160327177
ENSMUSG00000025357	-5.4667304772
ENSMUSG00000052217	-3.2273868267
ENSMUSG00000052748	-3.0493376499
ENSMUSG00000030657	-4.1378726445
ENSMUSG00000020279	-9.8895152891
ENSMUSG00000045404	-4.0464005176
ENSMUSG00000036273	-6.3561003313
ENSMUSG00000005465	-3.390605634
ENSMUSG00000030361	-3.4253509467
ENSMUSG00000054280	-3.0856001861
ENSMUSG00000066258	-3.5647562133
ENSMUSG00000089214	-3.0737143225
ENSMUSG00000032733	-3.3980017349
ENSMUSG00000029192	-3.3733904115
ENSMUSG00000029333	-6.5304369151
ENSMUSG00000033964	-3.2935454034
ENSMUSG00000008193	-7.6288077716
ENSMUSG00000020128	-3.1220082436
ENSMUSG00000020023	-3.3588482491
ENSMUSG00000054939	-3.48781428
