geneID	Log2Ratio
ENSMUSG00000035133	-3.2593258641
ENSMUSG00000054072	-3.1857681772
ENSMUSG00000054293	-3.717003478
ENSMUSG00000079033	-5.0111847313
ENSMUSG00000031932	-6.7577926743
ENSMUSG00000031933	-9.3678716536
ENSMUSG00000003534	-3.9565767946
ENSMUSG00000056290	-8.0701719565
ENSMUSG00000015850	-3.0640267873
ENSMUSG00000043263	-3.7407916353
ENSMUSG00000006014	-5.6150082983
ENSMUSG00000034438	-3.7358405276
ENSMUSG00000025959	-3.0217886638
ENSMUSG00000053914	-3.2059026874
ENSMUSG00000049866	-3.9946277231
ENSMUSG00000026573	-4.948372103
ENSMUSG00000041642	-3.4979668198
ENSMUSG00000027346	-3.5723924215
ENSMUSG00000051747	-3.1355459478
ENSMUSG00000073491	-4.2641417138
ENSMUSG00000040774	-3.8698618086
ENSMUSG00000073678	-4.3781388709
ENSMUSG00000079110	-3.6780381611
ENSMUSG00000002699	-3.1232955718
ENSMUSG00000050600	-4.1400977348
ENSMUSG00000026778	-5.3533581055
ENSMUSG00000026770	-6.5054228996
ENSMUSG00000022791	-3.4083241781
ENSMUSG00000026107	-3.6898132729
ENSMUSG00000026950	-3.1886546972
ENSMUSG00000034459	-3.5495082951
ENSMUSG00000028080	-3.40121887
ENSMUSG00000039114	-4.3821692088
ENSMUSG00000026205	-3.5347464211
ENSMUSG00000090958	-4.9632697207
ENSMUSG00000040570	-3.7026506309
ENSMUSG00000027544	-3.501496293
ENSMUSG00000026011	-6.5738756369
ENSMUSG00000026012	-7.2368285154
ENSMUSG00000029638	-3.4891462496
ENSMUSG00000028278	-3.7074225323
ENSMUSG00000032440	-4.3028798799
ENSMUSG00000032446	-3.716923678
ENSMUSG00000040747	-4.3539441175
ENSMUSG00000071757	-4.0508222741
ENSMUSG00000021678	-6.5075731859
ENSMUSG00000022015	-3.4065271132
ENSMUSG00000031391	-4.4042113049
ENSMUSG00000020520	-3.1066550556
ENSMUSG00000001444	-4.4971826679
ENSMUSG00000030616	-5.0712980295
ENSMUSG00000051703	-3.7413131782
ENSMUSG00000037463	-3.6331259279
ENSMUSG00000023267	-7.4463000726
ENSMUSG00000049555	-4.2980956587
ENSMUSG00000015314	-6.6998215088
ENSMUSG00000047242	-3.4537558713
ENSMUSG00000006651	-4.5544844827
ENSMUSG00000064181	-3.0723725797
ENSMUSG00000024778	-4.6097331461
ENSMUSG00000036526	-4.7687869199
ENSMUSG00000031958	-3.1221737672
ENSMUSG00000028460	-6.5252212568
ENSMUSG00000061723	-3.5525279046
ENSMUSG00000039159	-3.0616609398
ENSMUSG00000039157	-4.2266018421
ENSMUSG00000029279	-3.6392972304
ENSMUSG00000032094	-8.4779390672
ENSMUSG00000020042	-4.0719807435
ENSMUSG00000030495	-3.6904841441
ENSMUSG00000027900	-3.1715773401
ENSMUSG00000027901	-4.3740049499
ENSMUSG00000025977	-3.7102412175
ENSMUSG00000059146	-4.2329272556
ENSMUSG00000038147	-3.467192206
ENSMUSG00000028108	-3.2279041201
ENSMUSG00000025357	-6.5626414392
ENSMUSG00000020279	-4.2183153723
ENSMUSG00000070385	-3.606154958
ENSMUSG00000005465	-4.1284138349
ENSMUSG00000000142	-5.1079124825
ENSMUSG00000020901	-4.073760241
