	SP1	GMEB1	ETV3	YY1	ETS1	ZBTB33	NRF1	USF2	STAT1::STAT2	ATF1	IRF1	ZFX	HSF1	ELF1	RUNX2	BACH1::MAFK	ZNF143	SREBF1	MAFF	FOS::JUN	RUNX1	FOXP1	GABPA	GATA3	KLF5	SREBF2	NFKB1	SRF	NR3C1	MTF1	EWSR1::FLI1	BCL6	RXRA	STAT6	ZEB1	JUN	NFATC2	GFI1	RFX1	SP4	POU2F2	USF1	ZNF354C	REST	CTCF	THAP1	ZBTB7B	ARID5A	TBP	FOXK1	AHR::ARNT	BSX	CEBPZ	CREB3	DBX2	DMRT3	EBF1	EPAS1	FOXO4	FUBP1	GSX1	HLTF	HMBOX1	HMGA1	HMX2	HOXA2	HOXA3	HOXD10	HOXD9	IKZF1	IRF3	IRF6	LHX9	MAFK	MEOX2	MITF	MYC	NFIX	NFYB	NKX2-5	NR1I2	OSR2	OVOL1	PLAG1	POU2F1	PPARA	RHOXF1	SOX10	SOX13	SOX15	SPIB	TBX19	TBX2
1:10993294-10993324	1.946438973e-13	1.995025988e-05	3.155413055e-09	2.851652996e-15	3.538939384e-10	2.659139747e-13	5.351856529e-14	2.071142479e-15	2.3014314e-10	1.437863576e-09	4.420405269e-14	1.041348631e-09	7.263327002e-13	6.491167238e-16	1.006857276e-06	1.147396815e-14	6.857528028e-19	1.233054255e-09	7.352668429e-16	1.582071484e-05	1.644761387e-07	3.256945481e-11	1.067418318e-11	1.504445178e-16	2.008597127e-11	8.204646884e-09	2.882681362e-18	1.185142731e-13	4.677118655e-25	5.172379891e-13	5.58294989e-26	1.715606438e-06	3.327885605e-20	1.223119447e-12	1.32082073e-11	6.055406519e-16	0.000733972218	0.0001634550077	6.264626178e-10	6.112840023e-22	3.948841036e-17	4.750487818e-18	0.0005567516637	8.295489108e-23	6.815600292e-16	0.0007071788843	5.331671281e-11	9.248328711e-06	1.375523306e-08	9.800477994e-09	2.22042779e-05	2.271183378e-09	1.637396623e-07	3.931519824e-13	3.012189213e-07	2.019727658e-09	5.087901947e-13	4.151839147e-05	1.453995448e-09	1.437169809e-05	5.099536164e-05	0.187302611	1.326935211e-05	3.236665329e-05	1.288523999e-11	9.194353256e-07	0.09073033076	9.760442324e-06	4.385026507e-08	0.008332701254	6.097616531e-07	1.691954388e-05	1.643318911e-08	1.179374597e-19	4.094650994e-06	1.4218586e-06	1.567564179e-16	0.0002689498835	3.111099376e-14	0.000145248503	7.328139419e-06	1.230223016e-09	0.0003912937386	1.840049797e-09	4.211682388e-10	1.882721517e-08	4.106494928e-08	0.003236121312	3.923424489e-07	0.001889084534	0.000742470923	1.357055301e-17	7.996400551e-07
1:10993325-10993354	1.370319348e-15	0.0001770100993	6.794571159e-06	3.97924636e-17	0.0001389263063	6.499734981e-12	6.192956931e-15	5.11044374e-12	7.472596646e-16	2.251125379e-09	2.101572279e-16	1.754047178e-13	6.23606741e-19	1.098151731e-12	1.433875189e-09	2.50199415e-12	1.981238442e-18	4.407101909e-08	2.113868733e-18	9.517092899e-05	0.0004869596641	4.632131743e-08	4.124909744e-17	3.256096175e-16	2.070498732e-14	7.420444241e-09	3.529728107e-33	3.236514498e-20	1.006488572e-23	3.418401765e-14	1.2328482e-24	2.433021233e-12	6.754675366e-27	1.003257339e-14	9.442245803e-12	3.321136467e-27	4.917665221e-06	3.016328812e-05	4.395910053e-18	1.705352213e-16	2.47144698e-15	8.281236177e-12	0.002420059564	1.445982606e-22	2.686959764e-15	8.091738501e-06	5.466325127e-12	7.37531118e-08	1.898894932e-08	1.896429732e-07	0.01582017095	2.64460894e-13	8.032369177e-08	3.083410259e-15	1.175781691e-07	7.375292573e-11	3.981322731e-12	0.7161490472	6.213981227e-06	0.01691678312	4.390547582e-05	0.002881003102	3.084132489e-09	1.009461011e-05	5.980201837e-08	6.554759064e-07	0.04916693726	8.421979321e-09	7.866755211e-08	7.444837679e-06	2.583448148e-10	3.585179168e-09	1.218306223e-06	9.059990639e-16	2.236028974e-06	0.0002316904542	2.139221934e-12	4.517945878e-08	5.221376884e-19	0.0002758143578	5.364492125e-09	9.745293765e-10	0.001614715584	2.33465795e-11	9.296804856e-10	7.729383711e-10	2.374403648e-12	0.03406557523	4.07189164e-08	0.001681713508	0.00147270369	2.525022368e-13	1.907787265e-05
1:10993439-10993455	4.912944378e-20	0	4.744320136e-11	4.480827805e-18	4.942324441e-11	2.387701699e-17	6.166402724e-19	1.247659627e-23	9.883419615e-19	1.336343207e-06	0	3.968724319e-14	3.476240082e-22	4.160854255e-26	4.62959476e-12	9.227930429e-10	2.832854799e-33	6.33173326e-10	0	0.006460770565	7.807814092e-07	2.659000848e-16	1.889850534e-14	1.965460825e-21	1.398564578e-15	6.441808839e-09	2.686965756e-21	3.516279968e-26	0	1.545866664e-17	0	3.631184147e-16	1.469513575e-32	6.004250834e-25	1.01300993e-11	2.27137155e-18	3.64237876e-06	4.891327893e-05	3.809378928e-21	0	1.109492091e-12	1.680461035e-20	0.0001422769456	0	0	5.57787721e-07	1.523528508e-14	1.584264015e-09	4.628646532e-07	0	2.158246668e-05	2.846140042e-10	8.511659735e-10	2.670554049e-11	7.241893987e-12	4.348012982e-07	2.79255522e-23	5.921924618e-07	7.686263902e-10	4.147522581e-07	4.342843909e-05	0.0001251426579	1.580700764e-05	6.048338947e-06	0	1.934477072e-05	0.0008827227436	0	4.270959849e-07	0.0002716195041	0	0	2.663588779e-09	9.019205411e-22	7.691601547e-07	0.03327032081	0.001277688739	1.122878751e-06	4.546414801e-20	0.0001787294132	0	1.941583206e-11	0.0005797359024	1.470882815e-13	5.586315521e-09	5.53907577e-12	1.482990944e-08	0.000590631175	1.721752809e-12	0.0004945923908	5.101317761e-07	0	8.619099881e-08
1:10993498-10993528	1.276781013e-07	9.206941298e-05	1.367489125e-08	1.072260107e-11	4.187497096e-08	6.612446858e-09	1.345587375e-11	2.07811188e-14	2.651994795e-15	1.701951165e-08	1.669198418e-17	1.061558966e-05	5.996402929e-16	3.523872194e-16	1.447803974e-08	1.499755091e-11	9.922678663e-20	4.798015436e-07	9.856513619e-12	9.869514172e-05	1.552569478e-05	1.558150703e-15	7.472936896e-09	1.576610633e-16	1.160784328e-07	2.851473065e-07	3.065814635e-16	3.526675737e-22	2.653274342e-24	2.927277908e-14	2.033090382e-19	7.945397036e-11	7.998885668e-21	4.002331372e-18	8.030458945e-11	3.164661486e-20	0.0001189525059	2.579780639e-06	2.126288418e-14	7.823016474e-17	4.726035521e-20	3.534173701e-16	0.01411678231	5.216071456e-14	1.642023196e-09	0.001620585243	1.129663715e-09	9.925985494e-10	1.24244372e-10	2.178653386e-13	0.1144959871	3.039828761e-13	2.090652288e-07	5.556236157e-13	3.870288758e-09	1.205593817e-07	4.062069522e-06	0.0002039523805	4.320312693e-12	6.374166128e-07	3.270763717e-06	0.006859730528	1.121159281e-09	1.968341389e-07	1.011711931e-12	3.234764837e-07	0.008929799334	5.626341193e-11	6.981827797e-09	0.0006987320717	2.15892061e-10	9.482662837e-07	1.67336427e-08	1.876030555e-12	3.513128039e-06	0.0003713498943	1.628422462e-11	0.001780720746	6.69023553e-13	7.818223369e-05	2.274291267e-07	4.67330286e-07	0.0005922663426	1.327549221e-07	4.436626922e-13	6.379634361e-07	0.003335304959	0.000254428171	1.235383065e-10	0.0003396137273	0.0004601402541	3.303267931e-16	9.956321398e-08
1:10993631-10993651	1.87645325e-06	0.0001127471325	3.279198503e-11	3.644662123e-18	7.62100007e-13	4.339293364e-13	4.742519136e-11	2.700866021e-13	1.835772232e-14	2.511630561e-10	0	3.620093184e-07	8.648344243e-20	4.43510299e-19	2.842699465e-05	7.75407657e-15	4.135352957e-27	0.0001609187818	3.96676156e-11	1.220026557e-05	0.001968630871	6.834082976e-12	4.16111822e-13	9.990424403e-21	0.01437958461	4.145349832e-05	1.526783604e-24	3.453747934e-27	1.275428548e-20	1.287077341e-07	2.404542552e-23	5.527475144e-14	4.15076904e-17	1.60178395e-17	5.335343877e-11	5.528557459e-14	6.156817298e-05	4.661595185e-07	1.274115906e-13	2.041619174e-16	1.999845018e-13	1.186057082e-10	0.01930918103	0	1.882041129e-20	0.1655714251	9.825346533e-12	6.232942148e-09	7.335286924e-10	2.761317306e-11	0.0007815980647	2.549857261e-13	3.898887957e-08	6.100377251e-15	3.869763924e-09	2.702627805e-11	2.911361599e-14	0.001594514432	1.470103667e-06	4.470215808e-07	2.343608116e-05	0.005286178809	2.082047653e-09	2.023626439e-06	4.286015037e-14	3.933343222e-06	0.006810171492	2.583532846e-10	5.03668361e-09	0.0006828357365	2.764958985e-10	9.005666873e-10	3.041036713e-09	4.24410207e-14	8.426655593e-06	3.173503369e-05	4.075186029e-13	0.00511917337	1.78923685e-16	3.098546628e-05	1.857019632e-06	4.548764368e-11	0.0002582189654	1.697980866e-09	1.77062835e-09	0.0003187563451	6.955653257e-12	0.0003891721446	7.081498411e-09	0.000391594806	0.00138407103	1.723152967e-30	0.000296041913
1:10993664-10993677	3.406708746e-23	0	2.864963923e-09	5.98756635e-23	8.187953298e-14	0	4.195329505e-20	3.090706029e-25	0	3.409312036e-07	0	0	1.846721084e-18	9.141977024e-24	2.077346115e-15	0	0	1.208095853e-08	0	0.0001929368971	3.729686367e-10	0	8.182982081e-14	4.523201833e-17	4.102266729e-18	4.022641793e-08	2.481707859e-36	0	0	0	0	0	0	0	1.844845375e-07	1.907257593e-15	5.458682147e-06	6.848261787e-08	0	0	1.086348792e-23	4.851772731e-21	0.0017288051	0	0	2.631859373e-06	6.093889852e-20	0	0	0	2.350174596e-05	2.288897695e-09	9.926736031e-11	0	0	4.249699943e-08	0	1.019906948e-08	1.954223202e-10	4.336469147e-09	1.395962122e-06	8.275580659e-06	9.532442842e-09	5.370714255e-06	0	4.447141693e-08	0.0005038338438	0	1.98005453e-07	1.797662885e-05	0	0	4.900200856e-09	0	4.249485309e-08	1.673211484e-09	2.47722737e-23	5.643138272e-10	0	0.0003369841673	0	0	0.0003464234875	0	1.672498363e-10	6.709085876e-14	0.0001426657509	5.105490501e-06	0	2.575229301e-05	3.948971871e-06	0	1.582099397e-08
1:10993723-10993746	2.146284703e-12	0.01298237673	7.135463079e-05	2.544046746e-11	2.76131739e-07	6.406398463e-10	1.578594252e-11	3.147754332e-18	3.344429396e-15	5.667678475e-07	1.053298215e-15	2.093885092e-08	2.172943322e-18	8.065105755e-10	2.835527402e-09	9.826761356e-10	8.349311327e-21	5.334084199e-06	7.262865893e-16	0.0002112919005	2.746614366e-05	3.722588493e-15	7.000431777e-05	1.82950758e-21	3.131042443e-13	9.725266425e-07	6.82094389e-23	4.745345427e-24	1.020796987e-24	7.66978253e-10	3.473393234e-19	9.40124526e-13	3.516894049e-21	5.020690632e-19	1.242759028e-11	4.987879338e-10	8.792769024e-06	2.698286754e-07	4.016665393e-11	5.393315855e-14	2.583784825e-20	2.292364358e-18	0.01553702211	2.746627113e-16	1.674904213e-12	0.0007138883107	3.227829064e-12	4.500665241e-08	3.919196261e-11	2.139737112e-12	1.609953052e-05	3.798656455e-12	5.85412969e-07	6.234099132e-11	4.761459358e-06	6.385039749e-09	4.198738177e-16	2.303999857e-05	1.678178505e-06	8.661863846e-08	2.171210643e-05	0.001043628946	4.666240719e-09	2.529662784e-06	4.223929797e-11	7.33752052e-08	0.005007192711	4.743739081e-11	1.455713927e-08	0.0001190614295	1.778484325e-10	2.663254025e-06	5.413393613e-08	1.772858421e-16	6.804487374e-06	1.053631643e-05	9.834710972e-17	0.004695947582	2.79739846e-10	8.606771559e-05	8.2469555e-07	2.401633655e-05	0.0008843076218	1.705333268e-07	7.008867624e-14	1.952320638e-08	4.22985466e-12	0.001480794796	4.491239266e-09	0.001397008575	3.177564198e-05	2.909894498e-18	3.934186237e-07
1:10993777-10993790	2.71973928e-11	0	3.70064176e-08	1.906164856e-25	5.439498665e-10	0	6.208675455e-13	5.208838585e-17	0	8.038820148e-11	0	0	4.505645786e-22	3.539980017e-18	3.729502808e-07	0	0	5.764165761e-09	0	4.134759107e-06	3.743708792e-08	0	5.261799193e-14	2.755951194e-26	7.04683392e-12	3.528235003e-08	1.032788539e-39	0	0	0	0	0	0	0	2.43425272e-11	5.71715776e-30	3.707539412e-07	2.074044034e-09	0	0	5.977931812e-36	3.95799267e-17	0.001176671277	0	0	0.0002064068306	2.430258977e-14	0	0	0	0.0004845249457	5.973800455e-18	2.695227346e-08	0	0	9.145902221e-18	0	1.584646441e-05	2.073038762e-13	1.276766362e-09	2.186678539e-07	2.182103751e-05	2.29530995e-13	7.708652529e-10	0	7.567966431e-11	0.002317250382	0	1.052644144e-12	5.318668278e-05	0	0	1.211883005e-12	0	6.268079412e-09	2.4198124e-05	6.655672355e-17	3.822963236e-05	0	2.922546079e-06	0	0	1.725010208e-05	0	5.157537671e-17	2.199914028e-08	1.444361236e-17	1.750803851e-05	0	3.326512192e-05	2.025200465e-07	0	2.724590404e-11
1:10993838-10993868	6.269442935e-16	0.07730389933	5.826875116e-09	8.926425808e-16	8.241431851e-13	8.299992173e-12	2.523849536e-08	3.156969998e-16	4.649912075e-15	5.819519626e-08	1.54706473e-18	5.897283423e-10	1.003956446e-15	2.920220859e-16	1.05175208e-09	1.281300099e-08	5.634200653e-20	1.889541345e-08	8.129576069e-07	8.944970548e-05	2.245318638e-05	6.951829472e-11	1.430280703e-11	3.615670799e-16	3.698933807e-15	3.09853545e-08	3.172177546e-23	4.316824725e-22	7.992490538e-19	1.454491799e-12	2.381231036e-27	4.428805425e-10	6.908586789e-22	3.353030168e-11	4.163421767e-12	3.181603838e-13	9.978113811e-05	1.181332733e-05	1.282880464e-12	1.722448727e-20	1.767557317e-14	6.425107669e-14	0.001318345437	1.602724029e-13	5.543671378e-14	2.727557511e-05	2.471116806e-13	8.641752315e-09	1.196852462e-10	8.332557201e-11	0.106260388	2.367337484e-09	2.414048705e-08	2.49373048e-12	4.496765702e-08	1.668306064e-08	2.108769749e-12	0.003100887775	3.76723465e-08	4.553858183e-05	7.873865321e-05	7.841355085e-05	2.258464584e-06	1.437271943e-06	1.820468195e-10	9.874216616e-05	0.009264953062	4.217516179e-09	1.844191061e-08	1.364231342e-05	1.424311083e-10	2.623758253e-09	6.713471236e-08	8.999892681e-11	0.000107110922	0.0001404231721	9.249829087e-08	2.110412032e-05	6.01701833e-18	0.0001776589406	3.444004395e-05	3.759496079e-09	0.0005986125559	1.419381425e-09	1.307959077e-07	3.021770341e-08	4.793631682e-07	0.0004458620875	4.266697121e-09	0.0002046245229	0.001088352029	3.732484558e-12	5.016751716e-07
1:10993885-10993915	1.615366223e-15	0.0001194178919	5.258369756e-06	7.547256345e-12	1.232463577e-06	3.495658978e-09	1.000165127e-13	9.907837398e-14	1.725435292e-09	1.669112941e-08	6.672372084e-14	4.742447445e-09	1.688469892e-15	6.38530802e-09	2.653190477e-09	2.159380024e-14	9.844655297e-23	1.194943265e-07	2.044320608e-13	0.0001211617634	6.818617844e-07	4.863703193e-12	6.340712038e-06	9.373730259e-17	7.837074966e-16	3.030932635e-07	4.738620175e-20	3.448834866e-20	1.166981943e-16	3.242496969e-14	1.797549656e-24	1.251887148e-06	1.598853329e-20	2.856931401e-12	5.403339067e-11	2.270345793e-16	0.0003117806037	3.11890989e-06	1.330605218e-12	1.162965625e-20	6.052082814e-19	4.371042344e-09	0.01081904213	1.424493385e-14	7.613446516e-12	0.0001479607183	1.045647401e-11	3.555135756e-07	1.349909893e-09	1.176631844e-10	0.02364536675	1.282940889e-08	5.622953381e-08	2.033263666e-10	5.313593034e-06	1.358799046e-08	1.329467012e-10	0.001831265144	1.666394562e-08	1.14142994e-05	4.536032893e-05	0.003559104504	1.187104987e-05	9.511349261e-06	1.576315158e-09	3.155592694e-07	0.01755041848	2.047661214e-07	5.777315392e-07	3.056793345e-05	4.465809352e-08	0.01320440647	1.649039218e-07	1.048539048e-11	7.808755635e-06	0.0001097108617	2.162791387e-12	0.0002530880894	3.570922852e-13	0.0006706717042	8.187356472e-06	1.210583929e-06	0.002881178185	2.285858824e-09	7.357750171e-10	7.342209908e-09	1.004410818e-07	0.001784133644	6.535222776e-07	0.00108283233	0.0009267496071	5.737260221e-17	1.126949543e-05
