geneID	SP1	GMEB1	ETV3	YY1	ETS1	ZBTB33	NRF1	USF2	STAT1::STAT2	ATF1	IRF1	ZFX	HSF1	ELF1	RUNX2	BACH1::MAFK	ZNF143	SREBF1	MAFF	FOS::JUN	RUNX1	FOXP1	GABPA	GATA3	KLF5	SREBF2	NFKB1	SRF	NR3C1	MTF1	EWSR1::FLI1	BCL6	RXRA	STAT6	ZEB1	JUN	NFATC2	GFI1	RFX1	SP4	POU2F2	USF1	ZNF354C	REST	CTCF	THAP1	ZBTB7B	ARID5A	TBP	FOXK1	AHR::ARNT	BSX	CEBPZ	CREB3	DBX2	DMRT3	EBF1	EPAS1	FOXO4	FUBP1	GSX1	HLTF	HMBOX1	HMGA1	HMX2	HOXA2	HOXA3	HOXD10	HOXD9	IKZF1	IRF3	IRF6	LHX9	MAFK	MEOX2	MITF	MYC	NFIX	NFYB	NKX2-5	NR1I2	OSR2	OVOL1	PLAG1	POU2F1	PPARA	RHOXF1	SOX10	SOX13	SOX15	SPIB	TBX19	TBX2	Peak_Counts	Peak_Length
ENSMUSG00000052384	7.68377708955e-12	0.000307861609625	1.50764210344e-09	2.7063417106e-12	1.09639071411e-09	2.65633735621e-10	3.61544702108e-08	0.00117335057783	1.93270801477e-10	6.47928763988e-09	1.19767804077e-14	3.87889437392e-09	1.73256581384e-18	1.40716649757e-14	9.19291496358e-07	1.72244797196e-10	2.17388309284e-20	9.60444895257e-09	6.453705547e-14	1.13003778125e-05	5.50903287438e-06	7.78897902124e-09	1.21637048806e-11	3.38474716752e-14	9.18906209702e-11	1.55229228726e-07	3.58210411853e-21	6.57615838077e-17	1.93967345704e-22	3.75852279656e-12	2.94132632996e-22	8.37653245636e-12	3.1133105217e-23	1.61325050719e-13	2.60541171425e-09	1.32112140498e-11	1.82472213223e-05	2.27821643744e-06	2.6656595047e-10	6.9972782273e-15	4.20785610264e-08	1.14672010095e-08	0.00155128022898	5.23470054828e-22	1.61215589148e-16	5.03220510665e-05	4.06028466018e-11	8.49169558402e-07	5.58330811826e-07	2.26962613418e-07	1.10014442137e-05	1.92149890421e-06	2.97338799344e-07	1.1879361994e-12	1.4234589395e-06	3.24716111476e-08	3.48599746907e-13	4.61695311684e-06	6.33884450356e-06	3.33504053608e-07	0.00119533657204	0.00040039455	8.64531966466e-06	1.3289201589e-05	1.28976567846e-10	1.21280103572e-06	0.00511574338242	1.81663610629e-07	6.75684218736e-06	0.000164740720266	1.07747229284e-08	4.22958883793e-07	3.64240368597e-06	3.4205575635e-16	2.73044089787e-06	0.000277451578555	0.00136297315718	3.21682475391e-06	2.78821708094e-12	0.000168397228908	2.38647272595e-07	6.60660528818e-05	0.000434105716516	2.11921408423e-09	7.76892554221e-07	9.12753089293e-09	7.73265571945e-05	4.66792058991e-05	4.82582961351e-08	3.68907276915e-05	2.61035992445e-05	8.42150673815e-15	2.82731382423e-08	0.179224849747	4.48042225465
ENSMUSG00000059956	5.77898134613e-13	2.89910427606e-06	2.28017356703e-09	1.54480173936e-13	1.77084601419e-10	1.62496413742e-13	3.61948739481e-11	4.42618410854e-13	1.41127119871e-14	9.96599615398e-07	1.13527897605e-17	8.15881369032e-09	1.02024111876e-19	2.87370708864e-15	8.00295997658e-05	6.65766673967e-10	1.93980875565e-22	0.00013163044779	4.05404800443e-11	3.99128453855e-05	2.16613500563e-06	1.02535320274e-10	7.91581183769e-13	9.53893622076e-13	2.6119364817e-12	0.000143561410308	1.28488088177e-22	1.47643282366e-15	6.34517677241e-19	1.91117222445e-11	1.49438643481e-24	1.44920795018e-09	1.42116141806e-21	1.61777855258e-13	1.73051758983e-12	3.16340515699e-16	0.000653927829457	4.69684635687e-06	7.10962764632e-12	3.23489423516e-20	1.5019451404e-18	2.51023395814e-08	0.000548013035574	3.09233060955e-19	6.949499228e-14	1.83057263538e-05	1.04130917511e-12	2.45377971358e-06	3.25567561258e-09	1.18179796806e-10	9.89786100416e-05	1.85192705314e-09	2.32388141284e-07	2.43976211e-14	3.41891735244e-07	1.51866147841e-07	4.51388456779e-08	9.72362422475e-07	5.90277184916e-08	3.90041287527e-06	1.11826285146e-05	0.0391418634383	2.91831196671e-09	2.56873780016e-05	1.50029360306e-10	6.13278484452e-08	0.0012093413868	5.57172928129e-08	1.60077551992e-08	0.000861886586608	4.70882437356e-10	1.54194566403e-08	8.45119293477e-07	3.09109172242e-17	6.74375183327e-06	1.45248304559e-05	1.52126827484e-09	1.51419901343e-06	6.44418652912e-12	0.000255267468122	2.79608510065e-07	4.32079726831e-07	3.20263817851e-05	5.2163635081e-09	1.76869194936e-10	9.34812782902e-08	9.83811398371e-09	0.00054324532238	1.525105113e-09	0.000201772598842	0.000329023246443	4.65241675079e-13	5.19652443557e-08	1.93185376847	46.9477114338
ENSMUSG00000027340	4.30976141673e-14	1.83929500676e-05	3.63686333673e-08	4.85458058633e-11	4.57087145092e-09	2.08877569404e-13	2.37208680593e-11	4.8118373718e-18	1.03713849019e-10	2.32364748506e-09	2.89861931625e-15	0.00417838968688	3.17372045508e-15	2.26618335158e-16	3.510749917e-08	3.40454359199e-11	1.23547804879e-18	2.89352633497e-08	5.14092344851e-11	6.24217639095e-05	0.000244017195905	3.35091183442e-13	4.81855478778e-10	2.77510019232e-13	6.43940519706e-14	1.31542532478e-07	4.37474108239e-20	2.6770084675e-17	5.85815182313e-18	4.54797411444e-15	1.07243323084e-24	6.05260527665e-06	1.71752617429e-18	1.78520519758e-08	1.65769567217e-09	2.0156627367e-16	3.39268843811e-05	8.20895956011e-05	1.10831320369e-13	9.96989187304e-17	1.08359845135e-12	1.79343324183e-17	0.00170353463792	9.73243963505e-21	6.92319427887e-18	0.00010484958426	7.64768776986e-13	5.23710106736e-08	2.60932093837e-06	9.0197500621e-12	0.000105026215456	5.91047508166e-06	4.69483496406e-08	1.94331550794e-14	1.84769110754e-07	5.07690881492e-09	1.93399709041e-15	6.53233431389e-07	3.74160626206e-07	1.85423031559e-06	0.000110938009342	0.0185820310248	9.33919470279e-07	0.000631145472281	1.19196855473e-09	1.51639490587e-05	0.00113570485575	1.9904329493e-07	4.49209725196e-07	1.83057826981e-05	3.51605121485e-08	5.82917004355e-09	9.31190557297e-06	1.05093557912e-13	3.39940040479e-05	4.40699435008e-08	2.23543397525e-18	2.15363870793e-06	7.49577407772e-15	0.000477697816113	1.91883261576e-06	3.28983033096e-07	0.000476238658006	9.99585807873e-11	4.01035861324e-09	9.82171653244e-08	0.0103275758604	0.000502695665888	5.1471690986e-08	0.000162614104694	4.89376602307e-06	3.59246572864e-18	2.30374702347e-07	0.471406935573	8.2217422945
ENSMUSG00000038022	9.52647432792e-08	0.000395982537342	8.16289241688e-07	3.63829340534e-12	2.4179011744e-06	1.16410986587e-11	1.43222551871e-07	1.8682571514e-11	5.28982569759e-10	6.71885016012e-08	4.23719125032e-12	3.90430374889e-09	1.40660958667e-12	1.27963501462e-09	1.94422398389e-07	1.25889560706e-12	3.02704332453e-14	9.11751023061e-09	7.77817144333e-12	0.000144218646926	6.39404674315e-05	2.28435361316e-11	6.28719611922e-08	1.85627981599e-12	3.94480297506e-10	1.37605067672e-07	1.55417480991e-15	4.37921608723e-16	7.97787642811e-19	2.09009503958e-12	2.51263419238e-19	2.54311421137e-06	5.2949196425e-16	3.74374031767e-10	1.83356177381e-12	1.07780530857e-10	8.33843319567e-05	3.14487313448e-05	1.21064641767e-12	7.32136208544e-17	1.27801505293e-09	6.38492097424e-10	0.0029761125401	2.6700585535e-18	5.29157173869e-12	0.00114052790396	7.42476121149e-09	3.98672926185e-06	1.2569209792e-06	1.7384841942e-11	9.13811948931e-05	0.00010822630922	0.000162854737687	1.03707182263e-11	2.13932661795e-05	2.50029526948e-06	5.17816832642e-09	2.99633497407e-05	1.48778844637e-07	7.65220138171e-07	0.00059512723489	0.00544319419076	2.39690702541e-05	9.03494584076e-05	6.12357309318e-07	5.6964112416e-05	0.0114684184565	4.35731040107e-06	4.9000106312e-05	0.000482592396951	2.51478658033e-08	1.47286386732e-07	0.000119387488181	1.209517644e-09	4.38831491606e-05	3.48823275143e-05	7.88890803609e-09	0.00431034926153	2.72970715598e-10	0.00062326995759	1.94694664516e-06	1.82505400453e-05	0.000333301380738	4.50658651106e-07	6.71989529658e-08	2.88702577561e-07	0.00533767219663	0.00288718321683	8.05145723396e-07	0.000516114158902	0.000187990129217	7.23449366088e-16	6.07574306262e-06	9.57546556958	224.759446234
ENSMUSG00000056174	4.32963796059e-06	0.000859851616222	5.02340019671e-08	2.73780401028e-14	1.55921072936e-06	2.79292804361e-07	3.72501221321e-06	6.48612766114e-05	2.16550934872e-11	2.30416333279e-07	3.00539449454e-14	0.00365910585945	2.16844897882e-16	2.62207432928e-11	1.62610802342e-06	1.07483098965e-08	9.79434181367e-14	2.17319357201e-06	4.30047560829e-10	0.000990911587201	1.80260593463e-05	4.35934154177e-10	4.74164047086e-07	7.30848936662e-13	4.62805870031e-05	6.05319771257e-06	1.72614273928e-22	1.17432284778e-20	2.59278375254e-14	1.26413575313e-12	4.38963645198e-23	7.34988361161e-08	4.93844419614e-22	1.58219188657e-10	1.07806244078e-07	0.000269660624418	0.001004758613	5.5494873338e-05	2.48260181585e-11	4.60256160065e-16	1.88872787301e-09	2.39328301427e-05	0.000160164024901	2.02349626278e-12	2.56721629618e-09	0.000197786918178	6.3296376972e-11	2.70515929106e-07	4.16267036173e-07	1.73212656919e-11	9.65725619315e-05	1.81813278912e-05	0.000273041026668	4.06197489678e-10	1.62543858046e-06	2.27902494881e-09	9.77510580622e-10	4.88551690711e-05	6.33958737752e-05	1.02433795371e-05	0.000116217435027	0.00156552132451	3.54733119109e-05	1.8683324309e-05	7.88192014703e-11	3.28666957069e-05	0.00283711063886	1.4469464172e-07	1.87307719355e-05	0.000799128084497	1.09903798162e-08	1.63654804371e-07	2.14950010449e-07	3.3040687837e-09	4.3404071612e-05	0.000242364832306	5.00387957271e-11	0.00356995287319	1.0112871313e-06	0.000136923472003	8.91051002764e-05	1.40239192469e-06	0.000161853959547	5.02552471336e-09	2.49873742192e-08	2.51327837165e-08	0.00151835054433	0.000102845442995	4.99583038104e-08	0.000405504946404	8.15658547477e-05	2.25490800527e-11	3.76453433851e-08	0.946913858844	21.5774641708
ENSMUSG00000071648	0.00013494908928	6.95271898387e-06	1.0405405003e-07	1.06497722317e-13	1.37934797609e-09	4.05501876179e-14	2.38812234482e-14	1.173139107e-15	1.02609024825e-10	1.67404763544e-07	1.17906469065e-14	7.25962186956e-10	2.28534700018e-16	2.79455653083e-15	7.7576141693e-09	6.82746900972e-11	1.05608465979e-18	8.62286853065e-08	3.55062161313e-10	4.42514846698e-05	1.06521872352e-07	2.77343059233e-08	2.59789847689e-09	1.04223090535e-12	0.00010542795298	1.63292952383e-07	3.15129679845e-18	6.24220224111e-19	1.0715656934e-15	4.44697959817e-13	5.11826992599e-16	3.24651882053e-08	3.92416244548e-18	9.25683058464e-12	1.06774871546e-12	2.8159285313e-10	2.4084157541e-05	1.33075110596e-06	1.30005701852e-13	6.94603661059e-15	2.60137716076e-13	1.57583896347e-17	0.000313652406721	6.71338741368e-18	7.90951626774e-19	0.000229483077679	1.61093442519e-10	1.23161844095e-08	2.04837907778e-07	4.07245092353e-07	0.000146406414817	5.32210301693e-06	1.67800654093e-07	1.01036635608e-10	0.000172349360535	3.92271020239e-10	2.06205824803e-14	2.06859428305e-05	1.01194631894e-07	0.00025084515066	0.000257053656234	0.000746062700956	2.31545499355e-06	1.70146699665e-05	4.83883900323e-09	3.90211357876e-05	0.00252025917502	1.67497418755e-08	5.3370265925e-06	0.00323700556042	4.05105130477e-09	4.92816695626e-08	9.94975416336e-07	1.03372854282e-10	6.13421140409e-05	0.000322712331238	5.05841558039e-12	4.81591216643e-06	2.86909152881e-12	0.000142722971117	5.81505300129e-08	8.79796746002e-11	0.000221499378353	2.74499063252e-09	5.53103824649e-10	8.97543816165e-08	9.21216556463e-09	0.000187857803109	3.51441790422e-08	0.000155553278904	0.000178265214411	8.92884247187e-18	9.34073225375e-06	0.156626920235	3.95169747359
ENSMUSG00000073931	0.0012127020664	4.14183764936e-05	4.20568964098e-07	2.80638592642e-11	3.34204622276e-05	8.15296836677e-11	1.72955309041e-13	1.28977949134e-09	8.57993470994e-08	1.13459263116e-08	1.87907093299e-13	9.92590162254e-10	2.10113636472e-13	4.36493918555e-10	4.23586376663e-08	3.1579556221e-10	5.17456776736e-18	4.0761215105e-07	1.38891769898e-09	0.000352579333412	0.00011961659506	1.06226541982e-08	9.56498341287e-07	2.93308365398e-09	0.00274824630306	1.01029848211e-06	3.61698114014e-14	5.01232629016e-17	1.13491506803e-13	8.31968674079e-11	8.39362790346e-20	4.17236983571e-06	2.43095885497e-20	0.01801191432	2.722647531e-08	1.69605031524e-12	0.00139369561103	6.23616300486e-05	7.72321372565e-09	1.66152632815e-12	2.00178115527e-10	6.2534603732e-07	0.00173098449722	4.97089330481e-20	4.08932933003e-11	0.000120180316996	1.81894593865e-07	3.62197240907e-06	2.45096580369e-07	1.45082616052e-08	0.000173361252135	0.000411163987932	5.20927316681e-05	1.4602838015e-12	1.31882835197e-05	4.98855678334e-05	3.39093705118e-10	0.00140340087531	5.66018730026e-06	2.71123565639e-05	0.000868977342506	0.034091016906	0.000286688747803	0.00437808657659	1.5474554479e-07	0.000263901435132	0.00457718872445	1.0536615934e-06	7.32187855899e-05	0.000497861525452	4.53712897281e-08	1.89288544748e-07	0.000651285267048	3.01758693637e-12	0.00113517853482	3.82156079382e-05	9.57978856216e-08	0.00196832980876	1.04955934188e-05	0.00203135741947	4.71127396311e-06	7.95065851155e-06	0.000528024209105	3.02405517482e-08	2.76027709107e-07	8.46837595308e-07	0.00634286439546	0.00686068217477	9.75524698388e-07	0.00290154865796	0.00684998152907	8.22674668883e-15	1.51520236981e-06	7.35467680267	165.489203147
ENSMUSG00000039196	2.79394990006e-11	1.79364964947e-05	8.64120544468e-09	4.43156979512e-11	1.12626833443e-07	1.76523600332e-10	6.71686773575e-07	1.50168897698e-09	1.34156732047e-08	1.1852874259e-05	6.27760400737e-12	8.0456019506e-08	9.30387788322e-11	2.36107955753e-14	9.11141415291e-08	3.06786865655e-11	5.60226200342e-14	3.32232319873e-06	3.39018130172e-07	0.000263418046135	0.000106990627986	3.61770831904e-10	6.67871536038e-08	6.03565106312e-09	5.17652307299e-11	2.01518800203e-06	2.54927052733e-16	4.0765464701e-14	2.67024883488e-12	2.07978318246e-11	3.44709161471e-22	6.46002153388e-08	2.93503702251e-19	2.4488860164e-06	2.26120406914e-09	8.20712363936e-12	0.00144167130647	8.58978258776e-05	1.0373915611e-08	3.40861952022e-14	1.44651811572e-10	1.44424643981e-11	0.00898884565715	9.45865612398e-18	2.80657212213e-13	0.00122314715009	8.24466372939e-08	7.06575502969e-07	0.00254023956917	1.15897991145e-08	0.000385098740376	0.00172470323605	0.000100860563245	6.01326124813e-10	0.000198642331842	9.1040078583e-08	3.95709832686e-09	8.69000220887e-05	1.23430663363e-05	9.47093690135e-06	0.00192174004744	0.0432863326241	5.72992111216e-06	0.000362276918019	0.000260305259996	0.000381221308766	0.00595143762301	0.00490288291092	0.00486735991362	0.00588431516581	9.01519544796e-08	1.66672763687e-07	0.00553325414906	9.28326784785e-08	0.00128648162214	0.000164595801941	1.36190773668e-08	0.00130558571008	0.000220288057933	0.00691444567872	5.27772462205e-07	4.89571997452e-06	0.00144742948677	5.13804889068e-08	5.65557537195e-07	2.08781440161e-07	0.00136945783741	0.00711566426687	0.0126169612379	0.00397831731924	0.00052524988334	4.44051177786e-14	0.000286328668168	1.4793550242	33.2501905759
ENSMUSG00000025487	1.00786770237e-11	0.000341160159563	5.26787904399e-07	1.36916520588e-10	6.12633362164e-08	8.02501283865e-10	4.05645173261e-12	0.00065084845437	1.07061726081e-09	5.64978325754e-08	9.91635790774e-13	5.60049888633e-06	3.48667421203e-12	1.05296196537e-11	0.000849414385917	9.77686451875e-11	2.01560627423e-16	1.01065034117e-05	3.75405567546e-08	0.000146939672123	0.00685937340208	3.04889934993e-06	7.16920580204e-08	1.40553110814e-08	1.70242204405e-11	1.25125340789e-06	1.43806790907e-14	1.16718693733e-14	8.76908123327e-10	1.94513963634e-12	3.77668461785e-23	5.7223877797e-07	4.27441330415e-18	5.07376292627e-09	8.78339589493e-08	1.1525813097e-10	0.000871381179551	5.73189873096e-05	6.18522354315e-06	1.00154247342e-15	2.88235621398e-09	9.10113901794e-05	0.0057695121401	4.16337036839e-18	2.21935587544e-11	0.000283694436215	1.85063364963e-09	8.98239269858e-07	1.6308380595e-05	1.53177336889e-05	8.96433803972e-05	5.73186619652e-07	8.23936996449e-05	1.30269337583e-10	3.26816584146e-06	7.10563664455e-07	1.88930992907e-09	0.000103042551442	0.000741989502338	6.60990310112e-05	7.90156494429e-05	0.0144115833652	1.65974602197e-06	0.000381464700886	5.90404432318e-10	2.80921863684e-06	0.00638226261688	2.00438633535e-06	5.00282563298e-05	0.0002426415238	2.20669757205e-07	4.0554001984e-07	1.23731210924e-05	9.121137744e-14	4.87184656538e-05	0.00125799119373	0.0106104228745	4.19961033863e-05	8.66150289852e-08	0.000523594928728	0.00070254943457	4.11968645023e-06	0.000709454834102	6.522535903e-08	3.20562123181e-06	5.02270663835e-07	0.00339526932367	0.00664660265345	1.62014704937e-06	0.0012567885189	0.00024489620129	9.38806294819e-15	2.02337429091e-06	4.24129484411	95.08672535
ENSMUSG00000019647	0.00572589178169	0.000304237190483	2.03544426185e-08	2.13079914031e-11	6.74291648501e-10	5.2773158802e-10	2.6005207992e-08	4.46403040932e-12	2.72011542427e-11	2.97059231683e-06	2.44873696435e-11	2.8004123996e-09	2.04706770525e-16	6.27063966187e-14	7.78590115915e-05	4.10314760275e-08	2.29870207156e-20	7.1338886845e-07	1.55499053726e-10	0.00114639563206	0.000480228792362	1.92619188429e-13	8.92992870285e-10	4.84793256947e-17	0.00282732704956	6.67516185451e-07	8.38803930982e-15	1.11715501825e-20	2.78355887215e-20	8.54316970444e-11	1.03539013555e-18	2.02434166946e-06	7.92997255637e-21	8.77795790443e-12	6.66235607081e-09	4.20441286233e-19	5.93292051253e-05	6.09014926165e-06	5.78025795553e-09	4.18290063674e-15	9.52505809184e-16	3.89385188453e-12	0.0045422519615	5.86229382109e-17	3.94997628482e-11	0.0004108709465	1.13283491207e-09	1.70538959807e-08	1.8920184895e-09	4.67104213729e-13	0.00367840483522	6.83905246032e-09	1.35286944828e-07	2.57368154032e-12	8.45113183221e-08	1.99681134957e-07	4.58808999495e-10	0.00232478450798	9.16999858698e-10	3.50074026646e-07	2.13856082703e-05	0.000917034532244	7.09606609077e-08	3.72689277205e-05	6.26450951612e-11	1.73586267858e-07	0.00156952822527	4.86127728442e-09	5.70636432999e-08	0.00170990886171	6.93306731659e-08	9.70163179324e-08	5.74115364693e-08	1.75812288508e-09	2.72371255684e-06	2.88163493053e-05	1.05585928083e-08	1.65919014198e-05	5.99928672128e-15	0.000244013027967	1.82758429872e-05	7.53264943713e-06	0.00060052927564	4.31849421474e-08	4.71891279165e-10	6.75901546828e-08	6.87801527634e-05	0.00127385435796	1.02124115568e-06	0.000400425944137	0.00396049105054	1.84940315441e-14	3.55013435112e-07	8.79907162094	184.973868987
