geneID	SP1	GMEB1	ETV3	YY1	ETS1	ZBTB33	NRF1	USF2	STAT1::STAT2	ATF1	IRF1	ZFX	HSF1	ELF1	RUNX2	BACH1::MAFK	ZNF143	SREBF1	MAFF	FOS::JUN	RUNX1	FOXP1	GABPA	GATA3	KLF5	SREBF2	NFKB1	SRF	NR3C1	MTF1	EWSR1::FLI1	BCL6	RXRA	STAT6	ZEB1	JUN	NFATC2	GFI1	RFX1	SP4	POU2F2	USF1	ZNF354C	REST	CTCF	THAP1	ZBTB7B	ARID5A	TBP	FOXK1	AHR::ARNT	BSX	CEBPZ	CREB3	DBX2	DMRT3	EBF1	EPAS1	FOXO4	FUBP1	GSX1	HLTF	HMBOX1	HMGA1	HMX2	HOXA2	HOXA3	HOXD10	HOXD9	IKZF1	IRF3	IRF6	LHX9	MAFK	MEOX2	MITF	MYC	NFIX	NFYB	NKX2-5	NR1I2	OSR2	OVOL1	PLAG1	POU2F1	PPARA	RHOXF1	SOX10	SOX13	SOX15	SPIB	TBX19	TBX2	Peak_Counts	Peak_Length
ENSMUSG00000026495	3.65579126226e-12	4.46803953225e-05	8.34791824062e-05	6.9380070625e-11	0.000396492042086	1.27369702078e-11	1.11069538042e-13	7.07420999389e-15	3.41027151979e-10	1.82022881156e-07	1.46481755874e-11	1.96276966706e-08	7.23391762297e-17	5.30553097563e-16	2.88350678637e-09	1.92028329292e-09	7.91656080644e-18	3.50038952227e-07	5.11986011238e-07	0.000123181086679	0.000936957639399	1.86576721242e-08	4.04205990396e-05	1.88297507136e-08	1.02627737915e-09	6.14019553867e-07	3.60603696662e-20	5.14265552332e-17	2.48878239654e-13	5.81935952839e-13	2.55366059792e-22	1.28482223e-08	9.63527830102e-22	1.04463023701e-11	3.28902736024e-12	1.71222569842e-13	2.91423511947e-05	0.000197310508436	1.79802145945e-09	1.18960991109e-14	1.11192460934e-10	2.25935289904e-13	0.000625623009697	1.04843638783e-15	7.34257153018e-07	0.000336462769648	3.18596422137e-10	9.06342645005e-07	3.8850860692e-06	9.42616879184e-09	8.10444224925e-05	2.50129101348e-05	1.7591416532e-05	2.09387284217e-11	2.60996639335e-06	0.000393654815701	2.87104531443e-11	1.17851652888e-05	2.02181409207e-06	2.53000890539e-05	0.000215586522778	0.030320376468	4.51524925188e-06	0.00565297883818	1.39507033038e-08	1.99081592982e-05	0.00380690945321	3.08399454958e-07	0.00148919536263	0.000457438084192	7.2136757655e-07	2.29603841043e-05	1.94509540522e-05	1.79660352638e-06	3.88616968814e-05	9.72075129233e-06	6.61970881091e-13	0.000646092326483	4.31182308628e-11	0.00128051906077	3.27766538475e-06	1.39386207026e-06	0.000445106349183	9.33522797842e-10	5.06321743831e-08	9.79162904162e-09	0.00118769162134	0.00413409742744	3.12305793126e-06	0.00270200013931	0.00237671211615	5.98176716577e-14	8.39841510038e-07	0.647253837995	15.5763855656
ENSMUSG00000037972	6.70476170471e-06	0.00752794305505	1.66322952475e-05	1.64527079109e-06	1.14291244346e-05	7.20681659916e-09	1.56408295453e-08	4.99219222799e-09	6.52729193871e-10	2.76877334534e-06	2.2855621047e-11	1.32673629132e-05	5.98680128148e-10	1.66257570663e-09	0.0020814839702	8.5381911114e-08	1.58164317469e-12	0.000688503238814	1.89536585095e-05	0.00264445449668	0.0176422476085	1.37804302058e-06	1.62534506446e-07	7.13371484111e-08	3.42656188122e-05	0.000794958371724	2.30233022728e-11	1.26549991379e-15	1.02938179049e-09	2.1275411599e-09	4.91004695224e-16	1.52422176469e-06	5.03633474017e-13	6.80277616059e-09	4.85229650662e-08	2.35003454125e-10	0.000907627240323	0.000568916599369	3.38280337847e-09	2.53451622764e-12	3.96497488492e-08	5.8340063898e-09	0.0240570149888	6.78165049757e-14	8.43848522298e-09	0.0121659224099	2.15975531737e-06	7.52685137626e-05	5.51090556705e-05	4.15525611939e-07	0.000776755427527	0.00900851994814	7.43026899226e-05	6.15330948311e-09	0.00083574420841	0.000305524809783	2.19912667196e-07	0.0167593015716	9.28781263497e-05	0.000380495686167	0.00850534911796	0.173674499247	0.017616036981	0.00183073421791	3.04663335359e-05	0.00449313824857	0.0547711080617	6.69918719121e-05	0.000150866638778	0.0057262131368	9.76824228321e-08	7.10499799259e-06	0.00723017856381	2.67847022128e-05	0.0037252867057	0.000105648351696	4.63498840816e-07	0.0102264927083	8.75912079829e-09	0.00566089847378	7.65542969105e-05	0.00307846668431	0.0108404352667	2.94252736687e-06	5.19370665006e-05	3.24697838213e-05	0.0267814142274	0.0186622569158	5.48849368205e-05	0.0180274983612	0.0118555952606	8.26939713218e-13	5.17804678229e-05	39.4806952195	907.175957259
ENSMUSG00000059498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000028184	8.33053388554e-08	0.00169713114082	1.8420076289e-07	1.86595117592e-09	6.39308693277e-09	6.40785359048e-08	1.24468975371e-08	4.14365645854e-10	2.06167765503e-13	4.20736550493e-08	1.20232797034e-12	0.00372477489901	2.26428443068e-12	2.33993737224e-12	1.18961184652e-05	5.02930402117e-10	6.56999756231e-12	5.45609488151e-08	3.72633987465e-10	0.000176258410778	2.89518765339e-06	6.33100594997e-10	7.25470458531e-09	0.00093672462497	6.24858144963e-09	4.30079916563e-08	8.67929595281e-19	1.41608694276e-16	1.32628318762e-14	7.38653819059e-13	5.67018073733e-21	1.02665633004e-05	1.52696822579e-15	5.12789210446e-11	3.69666034827e-08	1.57960066843e-17	9.00635922399e-05	0.000153594997785	2.02292622922e-09	1.50894376486e-13	9.78926615796e-14	3.87371106168e-13	0.00635823421281	1.84108392373e-15	9.930181914e-12	0.000760094975712	1.83120505503e-10	4.71154682804e-07	1.44797191292e-05	4.37391777446e-09	0.00388746250598	0.000107982520093	3.3648102421e-07	4.24166959239e-10	4.32432037396e-06	8.44789180072e-05	5.94421407476e-10	0.00094534326698	7.29922203949e-05	0.000171027300599	0.00112870162163	0.0323783937205	1.49906182808e-05	0.000491539768761	8.67065634052e-11	0.000274826380099	0.00575119283403	8.06400583152e-08	3.78423132847e-06	0.000765400379248	3.67094443395e-09	3.34719397721e-07	0.000112535696423	4.01878999694e-06	0.000147157594811	8.09633674976e-05	7.51488458341e-08	0.00028481853355	7.67524412309e-09	0.000846961003469	5.10673735616e-06	5.13164726717e-07	0.00111014868238	7.94176390464e-06	2.0980375092e-07	3.88495299058e-07	0.000959229918896	0.000661343672353	1.6853246626e-07	0.000525593795374	0.000611411945527	4.99485895091e-15	1.58455936165e-06	9.37324430927	218.48526976
ENSMUSG00000012889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000059089	9.37579178625e-09	3.11832788879e-05	4.84239050623e-07	3.9310947924e-08	5.85207956294e-07	9.13554192684e-14	1.88067383575e-07	3.96462871128e-09	2.41071446451e-09	4.13750920234e-08	1.06349637533e-12	5.67275466259e-09	8.80630342934e-09	2.30323433415e-11	9.69126334573e-09	8.16142298214e-11	4.31213402482e-20	8.24900157865e-08	6.29907327618e-10	0.000328879864654	1.4283768468e-06	0.000602262597684	3.01397658679e-08	8.17184744137e-09	1.26586514999e-09	7.97903720468e-08	7.82446668529e-17	6.13649131314e-14	7.18170962575e-13	1.46726401327e-11	5.79087271125e-18	2.73240048777e-07	4.94508048215e-15	1.00536501474e-07	4.32881991583e-10	3.41269788556e-13	0.000147422070823	4.02788939556e-05	3.9515132605e-12	4.17662215233e-13	1.54418822612e-07	1.02368263069e-07	0.00101825813873	2.49215972784e-18	4.33143827998e-12	0.000408610649926	8.32469936441e-07	9.17028845521e-06	0.000104140464486	1.24360127124e-06	0.000224478568416	0.0022113234137	7.1212648526e-07	2.47210941678e-11	0.000148467593511	4.16404540937e-08	1.88769221557e-12	3.92348876939e-05	0.000738314429609	0.000481682729294	0.00510711150081	0.052363827596	6.4701686842e-05	0.00176739843551	1.12628331257e-08	0.00190909754606	0.00630221924728	0.000140558040334	0.000590828988658	0.000399830059724	4.31367489004e-08	8.68395082013e-07	0.00149243671861	1.34627444877e-10	0.00420827322339	0.000131892398958	0.0056595754573	0.00014071162062	1.16562826484e-09	0.00127686474371	4.20620747449e-06	1.15946820658e-05	0.000742293253622	9.10499031044e-08	9.7016378371e-05	1.54763446058e-07	0.00526111723066	0.00165139922393	1.79904756611e-05	0.0013065221119	0.000335752126123	9.50521753663e-12	8.96992557607e-06	1.13305235927	27.4670545718
ENSMUSG00000059325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000008999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000039754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000091423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
