geneID	SP1	GMEB1	ETV3	YY1	ETS1	ZBTB33	NRF1	USF2	STAT1::STAT2	ATF1	IRF1	ZFX	HSF1	ELF1	RUNX2	BACH1::MAFK	ZNF143	SREBF1	MAFF	FOS::JUN	RUNX1	FOXP1	GABPA	GATA3	KLF5	SREBF2	NFKB1	SRF	NR3C1	MTF1	EWSR1::FLI1	BCL6	RXRA	STAT6	ZEB1	JUN	NFATC2	GFI1	RFX1	SP4	POU2F2	USF1	ZNF354C	REST	CTCF	THAP1	ZBTB7B	ARID5A	TBP	FOXK1	AHR::ARNT	BSX	CEBPZ	CREB3	DBX2	DMRT3	EBF1	EPAS1	FOXO4	FUBP1	GSX1	HLTF	HMBOX1	HMGA1	HMX2	HOXA2	HOXA3	HOXD10	HOXD9	IKZF1	IRF3	IRF6	LHX9	MAFK	MEOX2	MITF	MYC	NFIX	NFYB	NKX2-5	NR1I2	OSR2	OVOL1	PLAG1	POU2F1	PPARA	RHOXF1	SOX10	SOX13	SOX15	SPIB	TBX19	TBX2	Peak_Counts	Peak_Length
ENSMUSG00000050493	1.40498922814e-09	0.000483051801194	1.46170932401e-06	2.00638075983e-07	9.02289577532e-05	1.93183539845e-09	1.03600204095e-10	6.66581036965e-06	1.20673430071e-11	1.95638760436e-05	9.67724721948e-11	3.40475814044e-06	3.32952894586e-09	2.09591944527e-09	1.73538051854e-05	5.50962688705e-10	6.91029350185e-13	2.92887030689e-06	1.66449707801e-09	0.000677700490109	0.00184824139551	3.02855088274e-07	4.56314499556e-07	7.14090979183e-08	3.78543400313e-05	4.62336029209e-06	1.15002691513e-09	9.88546118121e-08	6.60045810138e-17	1.14475387818e-09	1.80744499261e-17	3.02698282524e-06	1.96571991752e-16	2.69866862358e-08	3.11291806088e-08	6.79226087497e-10	0.00107385197931	0.00262319756003	4.61431000706e-06	2.44295110332e-12	1.96255055079e-08	2.82594914555e-05	0.0126692381802	1.52058558472e-13	1.55012790195e-11	0.0163726487821	1.12019166492e-05	0.000499732617682	0.000139052244285	6.54936472442e-07	0.000713848365975	0.000262047212544	4.99096127408e-06	3.24368352748e-09	2.26539557479e-05	0.000346709977468	1.26963617312e-07	0.000671137217685	0.000902362600791	0.000238500147088	0.00159849034126	0.06652216348	0.000237046850017	0.00433286126145	7.3858493312e-08	0.000219167870238	0.0222422680575	0.000334201692046	0.000101547301819	0.00233673671393	2.56536097423e-08	1.81526319645e-06	0.000250765009629	7.02835999599e-09	0.000634300279828	0.000138072023646	0.00789044161062	0.0109328004206	2.2362954136e-06	0.00229410209018	6.17277665467e-05	5.54730796913e-06	0.00161042087566	7.16522090302e-07	2.16054318608e-07	1.51037991852e-06	0.00572190292071	0.00462309637086	7.05211605708e-07	0.00274042471249	0.00281811487083	3.12010744041e-13	0.00360109698987	9.54896658343	214.944074642
ENSMUSG00000036251	6.46162266918e-07	1.73449642142e-05	5.1723949931e-06	2.27737708707e-09	5.35720816158e-07	5.71819799017e-08	6.8840563111e-07	5.67847266587e-10	1.49796703875e-10	8.6092343962e-08	4.47043982354e-13	3.16002260636e-07	6.54184979588e-09	5.78274147974e-11	1.75062784757e-06	1.47259837561e-12	6.16059096212e-08	2.76286298721e-08	5.22077632173e-10	0.0184765414143	0.000141787330358	2.70189685335e-10	3.20498578257e-07	1.90360985836e-12	3.81978455497e-08	5.40377445805e-08	5.36579662802e-14	2.68952865641e-14	6.61542670129e-16	1.68383076168e-11	2.12603855314e-23	1.41006801403e-09	1.02192272276e-17	1.53467700499e-11	5.9635834803e-09	9.75401718457e-14	0.0118123341426	5.7387541729e-05	8.39572721724e-12	3.33067591348e-12	6.04843559614e-07	1.65739326186e-08	0.00551162776813	1.2614134805e-20	6.34056817088e-13	0.0014395120183	5.58216799341e-11	5.33515229027e-06	4.27440411251e-05	6.48789985779e-10	0.000148025513516	0.00078750100144	3.99083034482e-06	4.64370217351e-12	6.67474827433e-05	8.84271375116e-05	1.78078148373e-11	4.03464782578e-05	0.000732828752734	0.00173916112551	0.00523316177255	0.0361742235726	0.00209936707553	0.000815126490131	1.08140251889e-07	0.000338552840965	0.0113388495919	4.14788945272e-05	8.42448529899e-05	0.00325306329021	7.47044581525e-06	1.87772335566e-07	0.000631285891183	2.65315895684e-12	0.000232420523727	2.8736550871e-05	2.31857105237e-08	0.000135369712726	3.2419561386e-06	0.00433321658263	2.33308139987e-07	6.67748402457e-05	0.0010797903156	2.14682227222e-07	1.58695705753e-06	4.84677840553e-07	0.0010114968457	0.00375582883743	5.17513464536e-06	0.00142363303148	9.18562538282e-05	8.36418725028e-17	5.40759394549e-06	3.64344472642	77.5028258155
ENSMUSG00000003154	2.32915818986e-08	0.000224793154276	3.11039857603e-07	2.56003126714e-12	4.83203814148e-09	1.61797163232e-09	1.66564055505e-07	5.29898079334e-15	3.56157356364e-06	1.59027085504e-06	2.84595943581e-06	6.67531614436e-05	7.67429366094e-14	9.33279567845e-14	2.24850083931e-11	7.53937676623e-13	4.72886724504e-21	7.91649724009e-09	7.02162359208e-13	9.29598057863e-05	4.76245666445e-09	3.3658844391e-08	2.09498313507e-08	8.16998957717e-09	3.77092021592e-08	6.83090101956e-09	8.56205568993e-25	4.40099344141e-16	2.20178561745e-20	3.60979520772e-12	6.32168469482e-21	4.60694057635e-08	7.45845522259e-13	2.79174750273e-09	6.19618187232e-13	4.80520837537e-18	0.000660771133973	7.3930399534e-06	4.60781405607e-10	1.30531635226e-11	9.67194693591e-12	1.0930958716e-08	0.00147130061817	6.99101863174e-14	8.58769580959e-15	0.000285091258357	4.08401772576e-13	3.67601099859e-06	6.58545389016e-05	9.16237269055e-10	7.07789834808e-05	1.21464305719e-06	2.1289891668e-07	4.36278923301e-10	6.74377219725e-08	5.38372625387e-09	2.57392844111e-16	1.21582401181e-05	1.27560490536e-06	3.73554197054e-06	0.000246549208971	0.0214234740703	5.36648952782e-06	7.43561429415e-05	3.53579064732e-10	1.66823826704e-06	0.00230876815489	1.41614982736e-06	1.19119795633e-05	2.7160505354e-05	6.85741350369e-06	1.04466748623e-08	8.90946013066e-06	3.45779624765e-16	2.91045257679e-06	3.24195557126e-05	6.43196213368e-14	0.00192987783829	6.55587673065e-11	0.000641529176777	2.35548405866e-06	1.13923968729e-09	0.000223467604826	3.54924384911e-08	5.71457510479e-08	3.66639334084e-06	0.000273404799342	0.000579755905839	4.24168908699e-08	0.0002384364997	0.000149234650751	7.49514278021e-17	6.82097027331e-07	8.545238094	159.879260181
ENSMUSG00000027805	0.0137023427016	0.00428230076298	0.000112461137116	1.50006358015e-12	8.6128004829e-07	6.20714599413e-09	9.01844501536e-07	3.12815777585e-08	6.84314305342e-11	5.45578311543e-06	1.43341145147e-13	5.71467043751e-07	1.72649457856e-11	1.35396402881e-09	3.49324721481e-05	4.63982392604e-10	3.33606196845e-14	0.000233410677061	3.85108440721e-09	0.000104983243421	6.49364192763e-05	2.31636070018e-11	3.01249224994e-06	1.63176919984e-12	0.0140942544859	0.000266632133055	3.12529863369e-12	6.55757413785e-15	1.19625171438e-13	2.06786395086e-10	7.21214010751e-17	8.01506408172e-08	9.40464909497e-18	4.19892491642e-06	4.3129792871e-07	3.11543968502e-15	0.000943315115149	5.30949797112e-06	2.94902858909e-10	8.07471789078e-09	1.3408591766e-13	6.20506744752e-11	0.020399754639	3.60544137769e-09	8.94491040201e-11	0.0092243852131	3.60367101879e-08	3.69358756142e-08	1.38713017365e-08	3.95119331913e-10	0.00146524152157	7.24011216731e-06	8.78440193661e-07	5.2405943006e-11	1.33019784196e-07	9.7308853094e-08	3.81039722268e-06	0.010040840177	6.3294487989e-08	1.31183885349e-05	0.000205079404449	0.00765621098342	1.4413068661e-05	7.97649852575e-06	6.15853984176e-10	7.63180451466e-05	0.00840098802642	1.15650759582e-08	2.66796449564e-07	0.0018808368056	5.41157006374e-08	4.69719521726e-07	9.30577142681e-06	1.36001110796e-11	2.36581404141e-05	0.00013071074071	0.000287286143872	0.000355817199524	8.79307511247e-13	0.000309529849317	2.84769457124e-06	8.38998424767e-07	0.00155229338302	5.4118659581e-07	9.14688763785e-09	2.10570367828e-06	0.000677990312947	0.000362802047998	3.02177672697e-08	0.000311011470537	0.0031672564661	7.17680532102e-11	1.57361597614e-05	15.0581045564	351.620853338
ENSMUSG00000029075	0.00162207369912	0.0144004426891	4.45795194206e-06	2.66788257262e-07	8.74848043057e-06	4.68110685487e-09	1.50020259397e-05	0.000132739236124	3.13870993088e-09	0.000496950374291	1.30492689718e-12	7.07943513803e-06	8.09805987362e-12	5.41190058041e-10	0.000316176964508	0.000135790537995	1.49157169767e-13	0.000124843106429	0.000763285700583	0.00204062075995	0.00507190610465	1.19613070721e-05	2.07448863074e-07	2.41513057551e-07	0.00442181398189	0.000143567407522	5.8673300003e-10	4.96008018021e-09	2.256131333e-10	8.00089673912e-08	2.14849207598e-14	1.03598426797e-06	6.1478054365e-16	3.87986935764e-06	0.000430058967437	2.68731733585e-07	0.00139330688017	0.000756078925073	8.86735315118e-10	2.68706079527e-11	8.39299006286e-09	1.21415451919e-06	0.0277493894099	1.67443908363e-16	2.33741665475e-05	0.00567184844902	6.48339757147e-07	2.75260069151e-05	0.00216993398127	5.0054272237e-06	0.000701140733092	0.00366782624217	3.31065186987e-05	2.97124333569e-08	0.000671770831978	0.000289227319719	1.27003159102e-06	0.00044135527379	0.000123230993545	0.000426566789247	0.016201831042	0.235722918213	6.07713847145e-05	0.0040729376773	2.05095196776e-08	0.0129889292339	0.0415453204718	2.59782642208e-05	0.000182966532007	0.00201215798542	1.07846089115e-05	6.78669325353e-05	0.00852870156345	5.89431380068e-05	0.0151433774704	0.000576894219353	0.0117917957294	0.00784516507963	1.91427023913e-08	0.00629409107303	1.44144449207e-05	0.00268327741032	0.00867894109558	3.70306746815e-07	5.88514238931e-05	3.88139288668e-05	0.00814996223797	0.0199603228181	0.00140235004656	0.0113403798459	0.00322801190324	8.3116420651e-12	2.10703379536e-05	23.5608255768	542.08476257
ENSMUSG00000026470	2.1169201481e-12	3.83994553189e-05	0.000282553562155	2.49196604891e-13	0.0015766815859	8.88177043e-10	7.4014535435e-14	3.75767878268e-10	7.89554084489e-11	5.11220456747e-09	3.63378903796e-12	4.53052343743e-09	1.72168856248e-13	1.16889218962e-07	6.80564449838e-14	6.15577003522e-12	2.57431834829e-15	0.00110303642833	1.77339215368e-12	9.62900298794e-05	1.49770209422e-08	8.08276021834e-12	0.000121620880283	2.56999135331e-12	7.55384541356e-12	0.00223072901282	1.37418403472e-26	1.2890761229e-19	1.31480176038e-12	2.13372959524e-12	6.39699630204e-23	1.99494866439e-08	1.48331371871e-21	8.70847920084e-11	1.64194881479e-10	6.79080556479e-10	4.01545937318e-05	0.00013807894132	6.34938096026e-09	4.64295098192e-21	2.1178931138e-15	5.44326669161e-11	0.000222927664576	2.01354538913e-20	4.30523452856e-14	0.000195122636742	2.14840751206e-14	0.0001261832263	9.16758352432e-08	1.531539805e-09	0.000145709043713	7.59891655704e-06	2.83674276134e-07	2.07735717785e-12	0.000365937645901	7.97383048245e-06	1.62956749194e-13	0.00204433059	8.02025815417e-06	7.77078270097e-08	0.000357870604499	0.00701238054885	1.00872170004e-06	0.00024661391148	5.44042177446e-05	5.01017830615e-05	0.00276651678126	2.49833357359e-07	9.55883226007e-07	1.29843949329e-05	1.4026818367e-10	6.53390061335e-07	0.000254476423172	4.72753858624e-12	9.40764460556e-05	0.000387164460225	2.57292040982e-12	4.07586520198e-05	5.43444478318e-11	0.00076581155972	5.91267516901e-09	0.000214967099336	0.000207715225212	7.54348518756e-09	8.85520515659e-08	1.46939926357e-09	2.83789248082e-06	0.000323251702711	2.63697858707e-06	0.000147007562446	0.00237174609826	1.70481055339e-17	5.18707233507e-06	0.375080087885	8.78031724319
ENSMUSG00000025648	8.84420819705e-05	7.25577759949e-05	3.3205428865e-07	1.11217050105e-11	2.94891978552e-06	3.1527087472e-07	1.31380669408e-09	7.00741616593e-09	2.76268828025e-10	3.44527458889e-07	4.0667223161e-14	1.40307269539e-05	8.49182107684e-10	2.12189238473e-12	7.96702314115e-07	2.81837755651e-10	2.20214281436e-17	1.28904065744e-05	4.9193679213e-09	0.000108125363739	6.67807831944e-06	7.7940833747e-11	3.53094904344e-10	5.61527531662e-13	1.84394105456e-07	1.09334214342e-05	3.16997182383e-21	4.425362256e-18	1.98332569845e-14	1.08523674576e-12	5.11763078354e-23	2.1412955106e-07	1.14021574353e-15	9.31505421838e-09	1.91714798606e-12	1.62093493517e-06	5.83725997487e-05	9.52692579666e-06	4.93597902748e-09	1.5559033108e-12	2.36483214503e-12	1.18769338996e-07	0.000617861857516	1.10276362175e-16	3.22199905966e-14	0.000117516714808	7.47664273472e-10	4.22204893752e-06	1.03286681607e-06	2.86966132875e-08	0.000108153842525	3.34459289418e-07	1.49813870973e-07	3.32730993887e-09	9.64222142985e-07	4.56178245307e-06	0.000206044057577	0.000428562555587	6.30444336546e-08	2.37677953254e-05	0.00014529981887	0.01540226944	9.71145491903e-06	0.000356367145987	1.09734335576e-09	6.43265518583e-05	0.00178941020733	5.89316485788e-07	0.000195125731992	0.000375032933463	6.06317387188e-07	5.17461785705e-07	4.43946867028e-06	4.47934646137e-08	9.86046091065e-05	1.09928832517e-05	1.52189650761e-11	0.000100725765278	5.39991868207e-13	0.000589280388927	3.13770581356e-07	1.64256257969e-05	0.000452326252425	2.06589155086e-09	9.02701771757e-08	6.49972149712e-08	0.00487887406789	0.000342346590999	0.00280254194036	0.000547645318261	0.000111325675167	1.0181744919e-12	1.16529211511e-06	6.71342098561	193.943479009
ENSMUSG00000073563	0.000532439286	7.38246115361e-05	1.08873612742e-05	2.06601881005e-12	1.5202503046e-08	1.05692627129e-11	7.10962727922e-12	1.29305517524e-06	6.27590040437e-11	1.247653043e-07	1.0452418733e-14	8.35366481699e-06	1.03136042532e-15	2.3856982633e-14	2.98906609763e-07	1.4978138075e-10	2.90205619322e-13	0.000250988226805	4.6936799894e-11	0.000101149472199	6.87070770837e-05	1.21362816443e-09	1.27624120758e-07	7.07507830587e-13	0.00350155402818	2.98222858332e-05	1.54811624227e-18	4.56284325498e-16	1.08306008101e-12	5.31197161614e-13	6.06006029436e-15	2.29013697723e-07	8.37514604067e-16	2.91527090566e-09	8.46091648798e-09	1.1581744598e-15	2.3774490614e-05	3.25792803616e-05	2.13981533645e-09	1.36040090679e-09	7.01100591636e-10	4.96298360905e-09	0.00740433578455	5.9361456493e-17	1.5864342986e-09	0.00031148730116	1.3905090802e-06	1.11019264964e-07	1.03214045535e-06	2.00896503335e-08	0.000123040907591	4.14332501266e-08	9.06628791408e-07	3.59493900868e-11	4.29607097908e-06	4.30947397523e-09	5.17437620917e-09	0.00355111038879	2.2160684296e-07	1.75056598506e-06	0.000573219111339	0.0118985360747	3.32892778542e-06	3.18502496063e-05	4.80895262199e-11	0.000441805869636	0.00619162875838	1.00657157576e-06	2.87926612591e-06	0.000870038749018	9.44432830984e-06	6.02096103254e-07	8.06526230404e-05	1.50276918055e-12	0.00187939127528	5.33508145028e-05	5.79317553665e-09	0.015656523676	1.81095946783e-12	0.00031458025786	6.61751840028e-06	4.21691497261e-05	0.000412099529855	1.18947660531e-06	1.3046153657e-08	2.98370177429e-06	0.00102353987695	0.00320656617127	6.80402152981e-08	0.000954086545999	0.000114476829734	2.18363316213e-11	0.000509229688043	7.32461670139	193.903348217
ENSMUSG00000020424	3.91631594687e-07	0.00210475699568	2.70142684493e-05	3.15398304334e-11	4.209358793e-06	2.91178558149e-09	6.20519890453e-06	5.31532386251e-11	6.93459382716e-10	2.44552305525e-07	2.1601716207e-12	6.47195429268e-07	4.66432167758e-15	4.03820846532e-11	1.9906486873e-05	2.48037701961e-09	1.57810571606e-16	1.51471791447e-06	2.095330141e-07	0.000221848853699	0.000126435211269	3.6457605364e-05	1.61659476919e-06	1.33846215753e-07	0.00463184339479	2.22670690306e-06	3.37322273466e-19	1.57312009415e-14	3.46888491332e-14	7.52281093322e-09	5.88877551219e-18	8.91140123948e-08	3.20178169134e-16	1.11249382938e-09	6.94574145048e-08	1.18648829239e-07	0.00038602148495	0.000151488216969	6.29518786091e-10	3.26833614206e-06	6.53596179015e-11	2.0657008674e-11	0.00615383617323	2.06390369858e-16	3.98264167403e-11	0.00221535416249	2.5245104775e-09	2.55363142916e-06	1.43994950986e-05	1.8622986091e-08	0.00297433413364	2.12365075049e-05	1.45362183274e-05	1.62139792351e-08	1.87706343204e-05	1.43685355942e-08	1.21285625734e-09	0.00339303705342	2.28183421583e-05	0.00010699938186	0.00134137053605	0.00308810391252	2.68485605432e-06	7.01622696025e-05	1.28594424901e-07	0.000421728015082	0.00752498491919	3.45091166346e-05	3.1959014765e-05	0.0218315374968	3.29030312072e-06	1.76941699306e-07	0.000109411647822	8.5583315502e-07	0.00173792599979	0.000352082622006	1.95647822328e-11	0.000530495977323	4.57828685246e-12	0.000554374090955	1.82837376983e-06	0.000711638711837	0.000823945423303	4.35378079497e-07	6.05064030253e-06	6.0768911191e-06	0.00807555265805	0.00282426208304	6.52975076887e-06	0.00139403655226	0.00254029019598	2.48854545434e-11	2.51300089576e-05	13.2147329299	276.148527237
ENSMUSG00000057058	9.73943200175e-05	0.000820729725607	9.53602717488e-08	7.35501044523e-10	3.90457069102e-09	8.42448992506e-10	1.26386255918e-11	7.56487557464e-08	1.02266351531e-10	1.08138507117e-06	1.78356927171e-13	7.79458023455e-09	6.30950577662e-14	6.07955251765e-13	7.67157897928e-06	7.21466978578e-10	3.11530084866e-12	0.000224344430725	1.17494798523e-08	0.00133324924639	5.56383816772e-05	0.000103625281235	1.1270434963e-08	2.18996223503e-08	0.00317043406203	0.000191321987462	2.81746509421e-20	6.27695953499e-16	1.07140957844e-14	3.03010692874e-13	8.96870627892e-22	2.33066366872e-07	8.82533139985e-19	9.65447777027e-08	2.0732224849e-08	2.18819631299e-10	0.000834129047055	6.45845042444e-05	2.92224041663e-06	7.67766257603e-16	1.7928365933e-10	1.38877833106e-07	0.00530430030613	5.32237252279e-20	2.81734562009e-09	0.000326921295395	1.25121523577e-07	8.35777103198e-06	0.000100199731997	5.07006831542e-06	0.000224943475125	0.00216013831693	3.52601512281e-06	8.19331937507e-10	0.000124213067477	0.000233232129725	1.19214613107e-08	0.000189026829901	4.60580627707e-05	0.000197952269834	0.00507695589216	0.0580463293918	4.86100291726e-05	0.00116637023458	1.01350789297e-06	0.00280168775439	0.00916737602821	5.62835412793e-05	0.000383795718256	0.00975997854618	3.96288174916e-08	6.45558671782e-08	0.00249312607018	4.12478108082e-09	0.00403075975457	6.69337631438e-05	0.00100160290065	0.000747682615779	1.49889028244e-11	0.00348066168731	2.13657637856e-06	7.25908363992e-08	0.00123648245955	3.24125796771e-07	7.80160095973e-07	2.7498660302e-08	0.0103683260373	0.0021991262842	2.23775541246e-05	0.00335322811696	5.76941668141e-05	1.16917700603e-12	1.4567164731e-05	11.0661714558	260.199133983
